id,value,feed_id,created_at,lat,lon,ele
0FR1HB1575WKBS9TDH6VXH3Z01,1,2936999,2024-11-18 02:19:47 UTC,,,
0FR1HB20QA30Y4XXSGTYARPVHF,0,2936999,2024-11-18 02:19:50 UTC,,,
0FR1HB2M2RCR2NMXMQTDXAK4T2,1,2936999,2024-11-18 02:19:52 UTC,,,
0FR1HB3069NEVA2R17TX4C73AA,0,2936999,2024-11-18 02:19:53 UTC,,,
0FR39K61EJ7XQAB82GKVQ8MMK8,1,2936999,2024-11-20 06:45:47 UTC,,,
0FR39K6VFF1MAK3FFJVYAJVCCA,0,2936999,2024-11-20 06:45:50 UTC,,,
0FR39K7BQ2Y7TRVMVQKSAGA4X4,1,2936999,2024-11-20 06:45:51 UTC,,,
0FR39K980NS61BAHE32P8W25XZ,0,2936999,2024-11-20 06:45:57 UTC,,,
0FR39K9YDMR127XQMHRT9SR28Q,1,2936999,2024-11-20 06:46:00 UTC,,,
0FR39KA97B66DD4J0YV6N36Q9P,0,2936999,2024-11-20 06:46:01 UTC,,,
0FR39SWV9AK50H7NVSX6Y362FG,1,2936999,2024-11-20 06:57:31 UTC,,,
0FR39TYJ06DVA8DG84TE4ZMYAQ,0,2936999,2024-11-20 06:59:21 UTC,,,
0FR39TYQSJFWXTXETDCAKPHJHS,1,2936999,2024-11-20 06:59:22 UTC,,,
0FR39TZGVVSEJQSW3MMSDYYJDH,0,2936999,2024-11-20 06:59:24 UTC,,,
0FR39V01BJ6NM450MKXRVQ35E1,1,2936999,2024-11-20 06:59:26 UTC,,,
0FR39VN4R431ECMG9NSC4NWCAP,0,2936999,2024-11-20 07:00:35 UTC,,,
0FR39VNPT31ZKXCX4DGVRQTVZ5,1,2936999,2024-11-20 07:00:37 UTC,,,
0FR39VXVYF5C3AQC3HQBYCCN5F,0,2936999,2024-11-20 07:01:04 UTC,,,
0FR39VY276DGWYHW9Q7HJ7F110,1,2936999,2024-11-20 07:01:04 UTC,,,
0FR39VZ00N9T9HAR8T5RZ7VVY5,0,2936999,2024-11-20 07:01:08 UTC,,,
0FR39W15GRP1H73N35053405RE,1,2936999,2024-11-20 07:01:15 UTC,,,
0FR39YJTQDNXBHACWHZJC0YW7W,0,2936999,2024-11-20 07:05:42 UTC,,,
0FR39YK1DGZPDJVD6W7BQAW9MW,1,2936999,2024-11-20 07:05:43 UTC,,,
0FR3A2WC4E5VAK6CVN4TSM4B8K,0,2936999,2024-11-20 07:13:13 UTC,,,
0FR3A2WC4JR3AMF18BRD7GGCN3,0,2936999,2024-11-20 07:13:13 UTC,,,
0FR3A2WC51W8EE02B78GCT5M3F,0,2936999,2024-11-20 07:13:13 UTC,,,
0FR3A2WC587RH8WBR81DPFX4EQ,0,2936999,2024-11-20 07:13:13 UTC,,,
0FR3A2XMEH4B68PC5CDP90V8FW,1,2936999,2024-11-20 07:13:17 UTC,,,
0FR3A419ZAY96EJ8WWR6WWG7R8,0,2936999,2024-11-20 07:15:14 UTC,,,
0FR3A4240ARK8Y39S00A7SMN92,1,2936999,2024-11-20 07:15:17 UTC,,,
0FR3A4XEQ1VGVZHNZ5T60XFERB,0,2936999,2024-11-20 07:16:46 UTC,,,
0FR3A4XZJ0VKFX2SRDG6446RXW,1,2936999,2024-11-20 07:16:48 UTC,,,
0FR3A55WPR5XRZJKTAZ73AVVH0,0,2936999,2024-11-20 07:17:14 UTC,,,
0FR3A5654XHX64YD3EJ3X5JX4S,1,2936999,2024-11-20 07:17:15 UTC,,,
0FR3A5AQRDM5Q7QM4XW4F96RKH,0,2936999,2024-11-20 07:17:30 UTC,,,
0FR3A5BQVCTAQFFQRJ5AD8760C,1,2936999,2024-11-20 07:17:33 UTC,,,
0FR3A5DN0CV0WZJRVAED7QQQVQ,0,2936999,2024-11-20 07:17:39 UTC,,,
0FR3A5E4RYN40AXGY51S3K89V6,1,2936999,2024-11-20 07:17:41 UTC,,,
0FR3A5FMBZS8GN74AQRE2EEZ0X,0,2936999,2024-11-20 07:17:46 UTC,,,
